region,no_salaried_family,liability,parent_qualification,college_expenses,community_impact,hometown_district,engg_education,college_resource,volunteer_activities,engg_passion,engg_choice,study_excitment,motivation_challenges,higher_studies,analytics_skills,specific_domain,internship_role,national_level_compitition,encounter_latest_trends,idol_mentor,technical_skills,extracurricular_participation,academic_performance,time_management,future_skill_development,project_collaboration,network_building,teamwork,software_update,deal_distraction,abroad_study,leadership_role,analytics_trust,responsibility_pursuance,enjoy_engg,enjoyable_aspect,study_satisfaction,extracurricular_effect,argument_deal,engg_perception,realtime_agitate,stress,stress_management,proud_feeling,study_fun_management,self_realization,college_support,achievements_impact,alternative_field,carrer_fear,recession_impact,job_search_challenges,backup_plan,extraskills,physical_health,dietary_habits,daily-routine,routine_pattern,selfcare,mental_wellness,college_overhelmed,sentiment,sleep_cycle,strees_relief,hobbies,total
1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,42
1,0,0,0,1,0,1,0,1,0,1,2,2,1,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,2,0,2,2,2,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,2,0,0,1,1,1,1,1,1,46
1,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,1,1,0,0,0,1,1,0,1,0,1,2,1,1,0,1,2,0,2,1,37
1,2,0,2,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,2,2,0,1,1,0,1,0,2,1,0,2,0,1,0,1,0,2,0,0,0,0,2,2,0,2,0,2,0,0,2,0,43
0,1,0,1,1,1,1,0,0,1,1,2,2,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,2,0,1,0,0,0,2,0,2,2,2,2,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,2,0,0,1,2,0,0,1,1,50
0,0,0,2,1,0,2,0,2,0,1,2,2,0,1,1,1,1,1,1,1,2,1,2,2,0,1,1,0,1,2,1,1,2,0,1,2,2,0,2,0,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,70
0,0,0,1,1,0,1,0,2,0,1,2,2,0,1,2,1,1,0,1,1,2,0,1,2,0,1,2,0,1,1,1,1,2,0,1,2,2,0,2,0,1,0,2,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,61
0,0,0,1,1,0,1,0,1,1,2,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,2,0,1,2,2,0,2,0,1,0,0,1,0,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2,1,49
0,0,0,1,1,0,1,0,1,0,1,2,1,0,1,1,1,1,1,2,1,1,1,1,2,0,1,1,1,1,2,1,1,0,0,1,2,2,0,2,2,1,1,0,1,0,0,2,1,0,1,1,1,1,1,0,0,2,1,0,1,2,1,2,1,1,60
1,2,0,2,1,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,1,1,0,2,0,0,0,0,0,2,0,1,1,2,2,1,2,0,1,0,0,0,1,1,2,1,0,0,1,1,1,1,0,1,1,0,0,2,0,45
0,0,0,1,0,0,1,1,2,0,1,2,1,0,1,1,1,1,1,0,1,1,0,1,2,0,0,1,1,0,2,1,0,0,0,1,2,2,2,1,0,1,0,2,1,0,1,0,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,53
1,0,0,1,1,0,1,0,1,0,1,0,2,0,0,2,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,2,2,0,1,0,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,49
